ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13708062,JJ100296,01/01/2025 02:00:00 AM,022XX S MICHIGAN AVE,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,0132,001,3,33,06,1177560,1889522,2025,01/09/2025 03:41:07 PM,41.852176839,-87.623787044,"(41.852176839, -87.623787044)"
13707917,JJ100122,01/01/2025 02:00:00 AM,008XX E 63RD PL,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,true,0312,003,20,42,06,1183132,1863092,2025,01/09/2025 03:41:07 PM,41.779522807,-87.604159685,"(41.779522807, -87.604159685)"
13709597,JJ101911,01/01/2025 02:00:00 AM,071XX S HALSTED ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0733,007,17,68,07,1172200,1857604,2025,01/09/2025 03:41:07 PM,41.764710471,-87.644398662,"(41.764710471, -87.644398662)"
13708450,JJ100676,01/01/2025 02:00:00 AM,077XX S YATES BLVD,0710,THEFT,THEFT FROM MOTOR VEHICLE,VEHICLE NON-COMMERCIAL,false,false,0421,004,7,43,06,1193540,1854212,2025,01/09/2025 03:41:07 PM,41.754906915,-87.566293711,"(41.754906915, -87.566293711)"
13708011,JJ100121,01/01/2025 02:00:00 AM,024XX S ALBANY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1033,010,25,30,08B,1156082,1887609,2025,01/09/2025 03:41:07 PM,41.847387304,-87.702668927,"(41.847387304, -87.702668927)"
13707911,JJ100132,01/01/2025 02:00:00 AM,030XX N LARAMIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2521,025,31,19,08B,1141177,1919676,2025,01/09/2025 03:41:07 PM,41.935670378,-87.756579971,"(41.935670378, -87.756579971)"
13708505,JJ100801,01/01/2025 02:00:00 AM,032XX N KARLOV AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,false,false,1731,017,30,16,06,1148495,1921071,2025,01/09/2025 03:41:07 PM,41.939360131,-87.729649454,"(41.939360131, -87.729649454)"
13711123,JJ103800,01/01/2025 02:00:00 AM,011XX W WRIGHTWOOD AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1932,019,43,7,06,1168348,1917427,2025,01/09/2025 03:41:07 PM,41.928953995,-87.656789919,"(41.928953995, -87.656789919)"
13709423,JJ101892,01/01/2025 02:00:00 AM,011XX W 18TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1235,012,25,31,06,1168902,1891563,2025,01/09/2025 03:41:07 PM,41.857969438,-87.655504989,"(41.857969438, -87.655504989)"
13708113,JJ100407,01/01/2025 02:00:00 AM,005XX W FULLERTON PKWY,0810,THEFT,OVER $500,STREET,false,false,1812,018,43,7,06,1172414,1916224,2025,01/09/2025 03:41:07 PM,41.925563902,-87.641884427,"(41.925563902, -87.641884427)"
13707924,JJ100167,01/01/2025 02:00:00 AM,105XX S VINCENNES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2212,022,19,72,08B,1168716,1834693,2025,01/09/2025 03:41:07 PM,41.701915232,-87.657827545,"(41.701915232, -87.657827545)"
13707966,JJ100158,01/01/2025 02:00:00 AM,018XX S BLUE ISLAND AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1233,012,25,31,08B,1167122,1891130,2025,01/09/2025 03:41:07 PM,41.856819623,-87.662051079,"(41.856819623, -87.662051079)"
13710764,JJ103304,01/01/2025 02:00:00 AM,001XX S PEORIA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1232,012,34,28,07,1170435,1899595,2025,01/09/2025 03:41:07 PM,41.879976504,-87.64964316,"(41.879976504, -87.64964316)"
13716739,JJ100684,01/01/2025 02:00:00 AM,071XX S DR MARTIN LUTHER KING JR DR,0880,THEFT,PURSE-SNATCHING,RESTAURANT,false,false,0323,003,6,69,06,1180149,1857867,2025,01/12/2025 03:41:05 PM,41.765253769,-87.615255549,"(41.765253769, -87.615255549)"
13719747,JJ113813,01/01/2025 02:00:00 AM,007XX W Couch pl,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1224,012,27,28,06,1171175,1901470,2025,01/15/2025 03:44:07 PM,41.885105422,-87.646870922,"(41.885105422, -87.646870922)"
13707908,JJ100106,01/01/2025 02:03:00 AM,008XX W 122ND ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,true,true,0524,005,21,53,04B,1172736,1823944,2025,03/26/2025 03:40:18 PM,41.672330799,-87.643422725,"(41.672330799, -87.643422725)"
